"Id Empenho";"Código Empenho";"Código Empenho Resumido";"Data Emissão";"Código Tipo Documento";"Tipo Documento";"Tipo Empenho";"Espécie Empenho";"Código Órgão Superior";"Órgão Superior";"Código Órgão";"Órgão";"Código Unidade Gestora";"Unidade Gestora";"Código Gestão";"Gestão";"Código Favorecido";"Favorecido";"Observação";"Código Esfera Orçamentária";"Esfera Orçamentária";"Código Tipo Crédito";"Tipo Crédito";"Código Grupo Fonte Recurso";"Grupo Fonte Recurso";"Código Fonte Recurso";"Fonte Recurso";"Código Unidade Orçamentária";"Unidade Orçamentária";"Código Função";"Função";"Código SubFunção";"SubFunção";"Código Programa";"Programa";"Código Ação";"Ação";"Linguagem Cidadã";"Código Subtítulo (Localizador)";"Subtítulo (Localizador)";"Código Plano Orçamentário";"Plano Orçamentário";"Autor Emenda";"Código Categoria de Despesa";"Categoria de Despesa";"Código Grupo de Despesa";"Grupo de Despesa";"Código Modalidade de Aplicação";"Modalidade de Aplicação";"Código Elemento de Despesa";"Elemento de Despesa";"Processo";"Modalidade de Licitação";"Inciso";"Amparo";"Referência de Dispensa ou Inexigibilidade";"Código Convênio";"Contrato de Repasse / Termo de Parceria / Outros";"Valor Original do Empenho";"Valor do Empenho Convertido pra R$";"Valor Utilizado na Conversão"
"44371718";"152005000012018NE000010";"2018NE000010";"01/01/2018";"NE";"Nota de Empenho";"Estimativo";"ORIGINAL";"26000";"MINISTERIO DA EDUCACAO";"26000";"MINISTERIO DA EDUCACAO - UNIDADES COM VÍNCULO";"152005";"INSTITUTO NACIONAL DE EDUCACAO DE SURDOS-RJ";"00001";"TESOURO NACIONAL";"170010";"SECRETARIA DA RECEITA FEDERAL DO BRASIL-RFB";"ATENDER DESPESA COM PAGAMENTO DE CONTRIBUICOES DA UNIAO PARA O PLANO DE SEGURIDADE SOCIAL DO SERVIDOR (PSSS PATRONAL)";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"1";"Recursos do Tesouro - Exercício Corrente";"00";"RECURSOS ORDINARIOS";"26104";"INSTITUTO NACIONAL DE EDUCACAO DE SURDOS";"12";"EDUCACAO";"846";"OUTROS ENCARGOS ESPECIAIS";"2109";"PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA EDUCACAO";"09HB";"CONTRIBUICAO DA UNIAO, DE SUAS AUTARQUIAS E FUNDACOES PARA O CUSTEIO DO REGIME DE PREVIDENCIA DOS SERVIDORES PUBLICOS FEDERAIS";"";"09HB0033";"CONTRIBUICAO DA UNIAO, DE SUAS AUTARQ - NO ESTADO DO RIO DE";"-1";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"1";"PESSOAL E ENCARGOS SOCIAIS";"91";"APLICACOES DIRETAS - OPER.INTRA-ORCAMENTARIAS";"13";"OBRIGACOES PATRONAIS - OP.INTRA-ORCAMENTARIAS";"23121.002155/2017-66";"Não se Aplica";"-8";"SI";"SEM INFORMACAO";"-1";"SEM INFORMACAO";"8984110,59";"8984110,59";"1,0000"
"49172004";"152005000012018NE000014";"2018NE000014";"01/01/2018";"NE";"Nota de Empenho";"Estimativo";"ORIGINAL";"26000";"MINISTERIO DA EDUCACAO";"26000";"MINISTERIO DA EDUCACAO - UNIDADES COM VÍNCULO";"152005";"INSTITUTO NACIONAL DE EDUCACAO DE SURDOS-RJ";"00001";"TESOURO NACIONAL";"152005";"INSTITUTO NACIONAL DE EDUCACAO DE SURDOS-RJ";"ATENDER DESPESA COM AUXILIO-TRANSPORTE AOS EMPREGADOS  (CONTRATO TEMPORARIO - LEI 8.745/1993)";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"1";"Recursos do Tesouro - Exercício Corrente";"00";"RECURSOS ORDINARIOS";"26104";"INSTITUTO NACIONAL DE EDUCACAO DE SURDOS";"12";"EDUCACAO";"331";"PROTECAO E BENEFICIOS AO TRABALHADOR";"2109";"PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA EDUCACAO";"212B";"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MILITARES E SEUS DEPENDENTES";"";"212B0033";"BENEFICIOS OBRIGATORIOS AOS SERVIDORE - NO ESTADO DO RIO DE";"-1";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"04";"CONTRATACAO POR TEMPO DETERMINADO";"23121.002151/2017-88";"Não se Aplica";"-8";"SI";"SEM INFORMACAO";"-1";"SEM INFORMACAO";"80300,00";"80300,00";"1,0000"
"46472090";"170183000012018NE800021";"2018NE800021";"01/01/2018";"NE";"Nota de Empenho";"Global";"ORIGINAL";"25000";"MINISTERIO DA FAZENDA";"25000";"MINISTERIO DA FAZENDA - UNIDADES COM VÍNCULO ";"170183";"DELEGACIA DA RFB EM SANTA MARIA";"00001";"TESOURO NACIONAL";"10879418000174";"FABIO LEAL LEAES - ME";"ATENDER DESPESAS COM SERVICOS DE MANUTENCAO DE CANIL E PLANTEL DE CAES DO CCFK9 DA DRFSTM NO EXERCICIO 2018.  PROC ORIGEM: 2017PR00007";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"1";"Recursos do Tesouro - Exercício Corrente";"50";"RECURSOS NAO-FINANCEIROS DIRETAM. ARRECADADOS";"25103";"RECEITA FEDERAL DO BRASIL";"04";"ADMINISTRACAO";"125";"NORMATIZACAO E FISCALIZACAO";"2110";"PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA FAZENDA";"2237";"AUDITORIA E FISCALIZACAO TRIBUTARIA E ADUANEIRA";"";"22370001";"AUDITORIA E FISCALIZACAO TRIBUTARIA E - NACIONAL";"0000";"AUDITORIA E FISCALIZACAO TRIBUTARIA E ADUANEIRA - DESPESAS DIVERSAS";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"11060722684201762";"Pregão";"-8";"LEI10520";"ART01    LEI10520/02";"-1";"SEM INFORMACAO";"17345,19";"17345,19";"1,0000"
"50971878";"152005000012018NE000011";"2018NE000011";"01/01/2018";"NE";"Nota de Empenho";"Estimativo";"ORIGINAL";"26000";"MINISTERIO DA EDUCACAO";"26000";"MINISTERIO DA EDUCACAO - UNIDADES COM VÍNCULO";"152005";"INSTITUTO NACIONAL DE EDUCACAO DE SURDOS-RJ";"00001";"TESOURO NACIONAL";"152005";"INSTITUTO NACIONAL DE EDUCACAO DE SURDOS-RJ";"ATENDER DESPESA A TITULO DE RESSARCIMENTO DE ASSISTENCIA MEDICA AOS SERVIDORESCIVIS, EMPREGADOS E DEPENDENTES.";"2";"Orçamento da Seguridade Social";"A";"INICIAL (LOA)";"1";"Recursos do Tesouro - Exercício Corrente";"00";"RECURSOS ORDINARIOS";"26104";"INSTITUTO NACIONAL DE EDUCACAO DE SURDOS";"12";"EDUCACAO";"301";"ATENCAO BASICA";"2109";"PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA EDUCACAO";"2004";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPREGADOS, MILITARES E SEUS DEPENDENTES";"Assistência Médica e Odontológica";"20040033";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS - NO ESTADO DO RIO DE";"0001";"ASSISTENCIA MEDICA E ODONTOLOGICA DE CIVIS - COMPLEMENTACAO DA UNIAO";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"93";"INDENIZACOES E RESTITUICOES";"23121.002153/2017-77";"Não se Aplica";"-8";"SI";"SEM INFORMACAO";"-1";"SEM INFORMACAO";"242245,35";"242245,35";"1,0000"
"46671702";"200346000012018NE800014";"2018NE800014";"01/01/2018";"NE";"Nota de Empenho";"Estimativo";"ORIGINAL";"30000";"MINISTERIO DA JUSTICA E SEGURANçA PUBLICA";"30108";"DEPARTAMENTO DE POLICIA FEDERAL";"200346";"SUPERINTENDENCIA REGIONAL NO ESTADO DA BA";"00001";"TESOURO NACIONAL";"-11";"Informação protegida por sigilo nos termos da legislaçã";"Informação protegida por sigilo nos termos da legislação vigente";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"1";"Recursos do Tesouro - Exercício Corrente";"74";"TX/MUL.P/PODER DE POLICIA E MUL.PROV.PROC.JUD";"30108";"DEPARTAMENTO DE POLICIA FEDERAL";"06";"SEGURANCA PUBLICA";"181";"POLICIAMENTO";"2081";"JUSTICA, CIDADANIA E SEGURANCA PUBLICA";"2726";"PREVENCAO E REPRESSAO AO TRAFICO ILICITO DE DROGAS E A CRIMES PRATICADOS CONTRA BENS, SERVICOS E INTERESSES DA UNIAO";"";"27260001";"PREVENCAO E REPRESSAO AO TRAFICO ILIC - NACIONAL";"0002";"PREVENCAO E REPRESSAO A CRIMES PRATICADOS CONTRA BENS, SERVICOS E INTERESSES DA UNIAO";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"33";"PASSAGENS E DESPESAS COM LOCOMOCAO";"03001000145201401";"Pregão";"-8";"LEI10520";"ART01    LEI10520/02";"-1";"SEM INFORMACAO";"21251,40";"21251,40";"1,0000"
"44771493";"253033362132018NE800002";"2018NE800002";"01/01/2018";"NE";"Nota de Empenho";"Estimativo";"ORIGINAL";"36000";"MINISTERIO DA SAUDE";"36213";"AGENCIA NACIONAL DE SAUDE SUPLEMENTAR";"253033";"AGENCIA NACIONAL DE SAUDE S. - DF";"36213";"AGENCIA NACIONAL DE SAUDE SUPLEMENTAR";"04895728000180";"CENTRAIS ELETRICAS DO PARA S.A. - CELPA";"PAGAMENTO DE DESPESAS COM SERVICO DE DISTRIBUICAO DE ENERGIA ELETRICA PARA O  NUCLEO/PA - INEX.03/2017 - VIGENCIA 01/01/2017 - PRAZO INDETERMINADO  PROC ORIGEM: 2017DI00003";"2";"Orçamento da Seguridade Social";"A";"INICIAL (LOA)";"1";"Recursos do Tesouro - Exercício Corrente";"74";"TX/MUL.P/PODER DE POLICIA E MUL.PROV.PROC.JUD";"36213";"AGENCIA NACIONAL DE SAUDE SUPLEMENTAR";"10";"SAUDE";"122";"ADMINISTRACAO GERAL";"2115";"PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"2000";"ADMINISTRACAO DA UNIDADE";"Administração de unidade";"20000001";"ADMINISTRACAO DA UNIDADE              - NACIONAL";"0000";"ADMINISTRACAO DA UNIDADE";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"33910011902201714";"Dispensa de Licitação";"22";"LEI8666";"ART24/22 LEI8666/93";"-1";"SEM INFORMACAO";"3000,00";"3000,00";"1,0000"
"51373843";"770200000012018NE000032";"2018NE000032";"01/01/2018";"NE";"Nota de Empenho";"Ordinário";"ORIGINAL";"52000";"MINISTERIO DA DEFESA";"52131";"COMANDO DA MARINHA";"770200";"COMISSAO NAVAL BRASILEIRA EM WASHINGTON";"00001";"TESOURO NACIONAL";"EX8618561";"NEWPORT HOSPITAL";"FT HB3006840080 DE  AEXN NEWPORT HOSPITAL";"2";"Orçamento da Seguridade Social";"A";"INICIAL (LOA)";"2";"Recursos de Outras Fontes - Exercício Corrente";"50";"RECURSOS NAO-FINANCEIROS DIRETAM. ARRECADADOS";"52931";"FUNDO NAVAL";"05";"DEFESA NACIONAL";"301";"ATENCAO BASICA";"2108";"PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA DEFESA";"2004";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPREGADOS, MILITARES E SEUS DEPENDENTES";"Assistência Médica e Odontológica";"20040001";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS - NACIONAL";"0007";"ATENDIMENTO MEDICO-HOSPITALAR - PARTICIPACAO DO MILITAR";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"-8";"Dispensa de Licitação";"02";"LEI8666";"ART24/02 LEI8666/93";"-1";"SEM INFORMACAO";"3378,80";"1074,00";"3,1460"
"49271696";"152005000012018NE000008";"2018NE000008";"01/01/2018";"NE";"Nota de Empenho";"Estimativo";"ORIGINAL";"26000";"MINISTERIO DA EDUCACAO";"26000";"MINISTERIO DA EDUCACAO - UNIDADES COM VÍNCULO";"152005";"INSTITUTO NACIONAL DE EDUCACAO DE SURDOS-RJ";"00001";"TESOURO NACIONAL";"510001";"COORD.GERAL DE ORCAMENTO, FINANCAS E CONTAB.";"ATENDER DESPESAS COM OBRIGACOES PATRONAIS DE CONTRIBUICOES PREVIDENCIARIAS -  INSS";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"1";"Recursos do Tesouro - Exercício Corrente";"00";"RECURSOS ORDINARIOS";"26104";"INSTITUTO NACIONAL DE EDUCACAO DE SURDOS";"12";"EDUCACAO";"368";"EDUCACAO BASICA";"2109";"PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA EDUCACAO";"20TP";"ATIVOS CIVIS DA UNIAO";"";"20TP0033";"ATIVOS CIVIS DA UNIAO                 - NO ESTADO DO RIO DE";"-1";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"1";"PESSOAL E ENCARGOS SOCIAIS";"91";"APLICACOES DIRETAS - OPER.INTRA-ORCAMENTARIAS";"13";"OBRIGACOES PATRONAIS - OP.INTRA-ORCAMENTARIAS";"23121.002154/2017-11";"Não se Aplica";"-8";"SI";"SEM INFORMACAO";"-1";"SEM INFORMACAO";"351000,00";"351000,00";"1,0000"
"48071898";"250030000012018NE800002";"2018NE800002";"01/01/2018";"NE";"Nota de Empenho";"Estimativo";"ORIGINAL";"36000";"MINISTERIO DA SAUDE";"36000";"MINISTERIO DA SAUDE - UNIDADES COM VÍNCULO DI";"250030";"NUCLEO ESTADUAL DO MS/PI";"00001";"TESOURO NACIONAL";"13224659000173";"SELETIV SELECAO E AGENCIAMENTO DE MAO DE OBRA EIRELI -";"EMPENHO PARA PAGAMENTO DE CONTRATO DE SERVICO CONTINUADO DE CARREGADOR DEVOLUMES E BENS MOVEIS NAS DESPENDECIAS DESTE NEMS-PI, NO   EXERCICIO CORRENTE,CONFORME CONTRATO 03/2017, VIGENCIA 30/JUN/2018, PROC.25015.000506/2017-37.  P";"2";"Orçamento da Seguridade Social";"A";"INICIAL (LOA)";"1";"Recursos do Tesouro - Exercício Corrente";"51";"CONTR.SOCIAL S/O LUCRO DAS PESSOAS JURIDICAS";"36901";"FUNDO NACIONAL DE SAUDE";"10";"SAUDE";"122";"ADMINISTRACAO GERAL";"2115";"PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"2000";"ADMINISTRACAO DA UNIDADE";"Administração de unidade";"20000001";"ADMINISTRACAO DA UNIDADE              - NACIONAL";"0006";"MANUTENCAO ADMINISTRATIVA - NUCLEOS ESTADUAIS";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"37";"LOCACAO DE MAO-DE-OBRA";"25015000506201737";"Pregão";"-8";"LEI10520";"ART01    LEI10520/02";"-1";"SEM INFORMACAO";"2940,47";"2940,47";"1,0000"
"50471851";"158528264392018NE800008";"2018NE800008";"01/01/2018";"NE";"Nota de Empenho";"Global";"ORIGINAL";"26000";"MINISTERIO DA EDUCACAO";"26439";"INST.FED.DE EDUC.,CIENC.E TEC.DE SAO PAULO";"158528";"IFSP - CAMPUS PIRACICABA";"26439";"INST.FED.DE EDUC.,CIENC.E TEC.DE SAO PAULO";"08940091000157";"PLETSCH & RIZZON LTDA - EPP";"SERVICOS CONTINUADOS DE MONITORAMENTO ELETRONICO REMOTO                       PREGAO 12528/2015 - CONTRATO 06/2015 - PROC 23435.000195.2015-78              MEMO 103/2017 DAA/PRC  PROC ORIGEM: 2015PR12528";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"1";"Recursos do Tesouro - Exercício Corrente";"00";"RECURSOS ORDINARIOS";"26439";"INST.FED.DE EDUC.,CIENC.E TEC.DE SAO PAULO";"12";"EDUCACAO";"363";"ENSINO PROFISSIONAL";"2080";"EDUCACAO DE QUALIDADE PARA TODOS";"20RL";"FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE EDUCACAO PROFISSIONAL E TECNOLOGICA";"PRONATEC";"20RL0035";"FUNCIONAMENTO DE INSTITUICOES FEDERAI - NO ESTADO DE SAO PAU";"0000";"FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE EDUCACAO PROFISSIONAL E TECNOLOGICA";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"23435000195201578";"Pregão";"-8";"LEI10520";"ART01    LEI10520/02";"-1";"SEM INFORMACAO";"1106,28";"1106,28";"1,0000"
