"Id Empenho";"CÛdigo Empenho";"CÛdigo Categoria de Despesa";"Categoria de Despesa";"CÛdigo Grupo de Despesa";"Grupo de Despesa";"CÛdigo Modalidade de AplicaÁ„o";"Modalidade de AplicaÁ„o";"CÛdigo Elemento de Despesa";"Elemento de Despesa";"CÛdigo SubElemento de Despesa";"SubElemento de Despesa";"DescriÁ„o";"Quantidade";"Valor Unit·rio";"Valor Total"
"43272039";"152005000012018NE000021";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"14";"DIARIAS - PESSOAL CIVIL";"14";"DIARIAS NO PAIS";"ATENDER DESPESAS COM DIARIAS DE  PESSOAL CIVIL NO PAIS, COBRINDO ALIMENTAÁ„O, POUSADA E LOCOMO«√O URBANA DO SERVIDOR PUBLICO ESTATUTARIO OU CELETISTA QUE SEDESLOCAR DE SUA SEDE EM OBJETO DE SERVI«O, EM CARATER EVENTUAL OU TRANSITORIO.";"1,00000";"15000,00000";"15000,00000"
"43272246";"170177000012018NE800037";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"77";"VIGILANCIA OSTENSIVA/MONITORADA/RASTREAMENTO";"PRESTACAO DE SERVICO DE  VIGILANCIA E SEGURAN«A - ORGANICA -                  44 HORAS SEMANAIS DIURNAS 000023507                                           ContrataÁ„o de pessoa jurÌdica para a prestaÁ„o de serviÁos continuados de vigil‚ncia e seguranÁa desarmada ? CBO 5173, com dedicaÁ„o exclusiva de m„o de obra, para as unidades da Receita Federal do Brasil em GravataÌ, GuaÌba, S„o JerÙnimo, Torres, TramandaÌ e Viam„o.";"1,00000";"1,00000";"1,00000"
"43272735";"170183000012018NE800018";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"19";"MANUTENCAO E CONSERV. DE VEICULOS";"MANUTENCAO DE VEICULOS LEVES / PESADOS                                        000003565";"1,00000";"2000,00000";"2000,00000"
"43272735";"170183000012018NE800018";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"74";"FRETES E TRANSPORTES DE ENCOMENDAS";"GUINCHO / REBOQUE                                                             000016160";"1,00000";"300,00000";"300,00000"
"43273020";"170186000012018NE000016";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"09";"ARMAZENAGEM";"EMPENHO PARA ATENDER DESPESA COM SERVICO DE ARMAZENAGEM DE MERCADORIAS        APREENDIDAS - EXERCICIO 2018";"1,00000";"600,00000";"600,00000"
"43371486";"152005000012018NE000001";"3";"DESPESAS CORRENTES";"1";"PESSOAL E ENCARGOS SOCIAIS";"90";"APLICACOES DIRETAS";"01";"APOSENT.RPPS, RESER.REMUNER. E REFOR.MILITAR";"87";"COMPLEMENTACAO DE APOSENTADORIAS - PES CIVIL";"ATENDER DESPESAS COM COMPLEMENTACAO DE APOSENTADORIAS DEVIDAS AO PESSOAL CIVILINATIVOS.";"1,00000";"34993,92000";"34993,92000"
"43371486";"152005000012018NE000001";"3";"DESPESAS CORRENTES";"1";"PESSOAL E ENCARGOS SOCIAIS";"90";"APLICACOES DIRETAS";"01";"APOSENT.RPPS, RESER.REMUNER. E REFOR.MILITAR";"34";"VANTAGENS PERMANENTES SENT.TRANSIT.JULG.CIVIL";"ATENDER  DESPESAS  DECORRENTES DE VANTAGENS PEMANENTES, MENSAIS E CONTINUADAS DE PESSOAL CIVIL ORIGINADAS DE SENTEN«AS JUDICIAIS TRANSITADAS EM JULGADO.";"1,00000";"44852,76000";"44852,76000"
"43371486";"152005000012018NE000001";"3";"DESPESAS CORRENTES";"1";"PESSOAL E ENCARGOS SOCIAIS";"90";"APLICACOES DIRETAS";"01";"APOSENT.RPPS, RESER.REMUNER. E REFOR.MILITAR";"01";"PROVENTOS - PESSOAL CIVIL";"ATENDER DESPESAS COM PROVENTOS DE APOSENTADORIA CIVIL.";"1,00000";"23760000,00000";"23760000,00000"
"43371486";"152005000012018NE000001";"3";"DESPESAS CORRENTES";"1";"PESSOAL E ENCARGOS SOCIAIS";"90";"APLICACOES DIRETAS";"01";"APOSENT.RPPS, RESER.REMUNER. E REFOR.MILITAR";"09";"ADICIONAL POR TEMPO DE SERVICO PESSOAL CIVIL";"ATENDER DESPESAS COM O PAGAMENTO DA GRATIFICACAO DE TEMPO DE SERVICO (ANUENIO)DE SERVIDORES CIVIS.";"1,00000";"5328000,00000";"5328000,00000"
"43371486";"152005000012018NE000001";"3";"DESPESAS CORRENTES";"1";"PESSOAL E ENCARGOS SOCIAIS";"90";"APLICACOES DIRETAS";"01";"APOSENT.RPPS, RESER.REMUNER. E REFOR.MILITAR";"06";"13 SALARIO - PESSOAL CIVIL";"ATENDER DESPESAS A TITULO DE 13 SALARIO - PESSOAL CIVIL APOSENTADO";"1,00000";"2052392,33000";"2052392,33000"
