"Código Pagamento";"Código Lista";"Data Emissão";"Código Favorecido";"Favorecido";"Valor do Pagamento em R$"
"135046132032018OB801462";"135046132032018LC000000";"01/05/2018";"-3";"Inválido";"0,00"
"135046132032018OB801463";"135046132032018LC000000";"01/05/2018";"-3";"Inválido";"0,00"
"158294264082018OB800317";"158294264082018LC000000";"01/05/2018";"-3";"Inválido";"0,00"
"158316264052018OB800779";"158316264052018LC000000";"01/05/2018";"-3";"Inválido";"0,00"
"158316264052018OB800780";"158316264052018LC000000";"01/05/2018";"-3";"Inválido";"0,00"
"158316264052018OB800781";"158316264052018LC000000";"01/05/2018";"-3";"Inválido";"0,00"
"158467264362018OB800662";"158467264362018LC000000";"01/05/2018";"-3";"Inválido";"0,00"
"393020392522018OB800299";"393020392522018LC000000";"01/05/2018";"-3";"Inválido";"0,00"
"512060572022018OB801379";"512060572022018LC000000";"01/05/2018";"-3";"Inválido";"0,00"
"512060572022018OB801380";"512060572022018LC000000";"01/05/2018";"-3";"Inválido";"0,00"
"512060572022018OB801381";"512060572022018LC000000";"01/05/2018";"-3";"Inválido";"0,00"
"512060572022018OB801382";"512060572022018LC000000";"01/05/2018";"-3";"Inválido";"0,00"
"512060572022018OB801383";"512060572022018LC000000";"01/05/2018";"-3";"Inválido";"0,00"
"512060572022018OB801384";"512060572022018LC000000";"01/05/2018";"-3";"Inválido";"0,00"
"512060572022018OB801385";"512060572022018LC000000";"01/05/2018";"-3";"Inválido";"0,00"
"512060572022018OB801386";"512060572022018LC000000";"01/05/2018";"-3";"Inválido";"0,00"
"512060572022018OB801387";"512060572022018LC000000";"01/05/2018";"-3";"Inválido";"0,00"
"512060572022018OB801388";"512060572022018LC000000";"01/05/2018";"-3";"Inválido";"0,00"
